YBR119W	YDL087C	YGL049C	YGR013W	YGR074W	YGR162W	YHR165C	YIL061C	YJR084W	YLR275W	YLR298C	YLR430W	YML046W	YML049C	YMR125W	YNL189W	YPL178W	YPL190C	YPR057W	
YBR119W	YCL037C	YDL175C	YDR225W	YDR235W	YGL049C	YGR013W	YHL034C	YHR086W	YJL080C	YJL190C	YJR084W	YLR226W	YLR430W	YMR125W	YMR240C	YPL178W	YPR057W	YPR161C	
YBR119W	YCL037C	YDL175C	YDR225W	YGR074W	YGR162W	YHL034C	YIL061C	YJL080C	YJL190C	YJR084W	YKL012W	YLR226W	YLR298C	YLR430W	YMR125W	YPL178W	YPL190C	YPR057W	
YAL034C	YAR002W	YDL175C	YDR257C	YDR502C	YER110C	YKR029C	YLL021W	YLR005W	YLR180W	YLR335W	YLR347C	YMR308C	YMR310C	YNL189W	YNL224C	YNL282W	YOR098C	YPL020C	
YBR119W	YDL087C	YDR235W	YDR240C	YER029C	YGR013W	YGR074W	YGR162W	YIL061C	YJR084W	YKL012W	YLR147C	YLR275W	YLR298C	YML046W	YMR125W	YOL139C	YPL178W	YPR057W	
YBL007C	YBL027W	YBL037W	YCR030C	YDL191W	YFR024C-A	YGL206C	YGR027C	YGR167W	YHL019C	YHR114W	YJL201W	YJR005W	YLR150W	YLR337C	YML001W	YNL084C	YOL062C	YOR181W	
YBL039C	YBR205W	YBR263W	YDL112W	YDR335W	YDR457W	YFR031C-A	YGR026W	YGR204W	YHL011C	YJL052W	YKL029C	YKL067W	YLL040C	YML056C	YML072C	YMR143W	YNL030W	YPL009C	
YBL007C	YBL027W	YBL037W	YCR030C	YDL191W	YER147C	YFR024C-A	YGL206C	YGR027C	YGR167W	YHR114W	YJL201W	YJR005W	YLR150W	YLR337C	YML001W	YNL084C	YOL062C	YOR181W	
YBL004W	YBL072C	YBR189W	YCL037C	YCL059C	YDL213C	YDR064W	YDR395W	YGR090W	YJR002W	YKR060W	YLR003C	YLR197W	YMR143W	YNR043W	YOR078W	YOR096W	YOR310C	YPL266W	
YDL149W	YDR429C	YER103W	YER164W	YGL019W	YGL206C	YGL207W	YIL035C	YKL088W	YLR192C	YLR418C	YML016C	YML069W	YOL145C	YOR039W	YOR061W	YOR361C	YPL208W	YPL228W	
YBL039C	YBR017C	YDR394W	YER021W	YFR010W	YGR135W	YGR232W	YHL030W	YHR027C	YHR200W	YJR077C	YJR109C	YLR421C	YML092C	YML124C	YMR314W	YNL250W	YOL087C	YPR103W	
YBR279W	YER164W	YGL019W	YGL244W	YIL035C	YJR138W	YKL064W	YKL088W	YLR223C	YLR407W	YLR418C	YMR172W	YOL004W	YOL145C	YOR039W	YOR061W	YOR123C	YOR361C	YPL181W	
YBR253W	YCR081W	YDR308C	YDR443C	YDR448W	YER022W	YGL127C	YGL151W	YGR104C	YGR252W	YGR274C	YHR041C	YNL025C	YNL236W	YNR010W	YOL051W	YPL042C	YPL254W	YPR070W	
YBR247C	YDL060W	YGR054W	YGR081C	YGR285C	YKL143W	YKR057W	YLR264W	YLR367W	YML026C	YNL096C	YNL207W	YOR056C	YOR145C	YOR290C	YPL081W	YPL204W	YPL266W	YPR112C	
YBL041W	YDL147W	YER012W	YER021W	YGL011C	YGR135W	YGR232W	YHL030W	YHR200W	YIL075C	YJL001W	YKL210W	YLL021W	YLR170C	YML092C	YMR314W	YOL038W	YOR261C	YOR362C	
YBR105C	YBR272C	YDL058W	YDL070W	YDR174W	YDR300C	YEL056W	YFR006W	YGL049C	YJR109C	YJR132W	YJR138W	YKL067W	YLL022C	YLR325C	YNL030W	YOL054W	YOR303W	YPL001W	
YAL035W	YBL024W	YDL149W	YDR091C	YGR054W	YIL133C	YJR123W	YLR039C	YLR192C	YLR264W	YMR146C	YMR230W	YMR309C	YNL096C	YNL244C	YOR096W	YOR204W	YOR361C	YPR041W	
YBL046W	YBR205W	YBR263W	YCL050C	YDL112W	YDR335W	YDR457W	YFR031C-A	YGR026W	YGR204W	YJL052W	YKL067W	YKL182W	YLL040C	YML056C	YML072C	YMR143W	YNL030W	YPL009C	
YAR042W	YBR177C	YDL019C	YDR150W	YDR490C	YER120W	YFL016C	YGR086C	YGR130C	YGR246C	YHL020C	YHR195W	YIL074C	YKL057C	YKL142W	YLR183C	YMR031C	YMR109W	YPL004C	
YAR042W	YBR177C	YDL019C	YDL116W	YDR150W	YDR490C	YER120W	YFL016C	YGR086C	YGR130C	YHL020C	YHR195W	YIL074C	YKL057C	YKL142W	YLR183C	YMR031C	YMR109W	YPL004C	
YBR193C	YBR253W	YCR081W	YDR308C	YDR443C	YER022W	YGL025C	YGR104C	YKR095W	YLR071C	YML007W	YMR112C	YNL025C	YNR010W	YOL051W	YOL135C	YPL042C	YPR070W	YPR168W	
YBR208C	YBR221C	YDR069C	YDR148C	YDR338C	YDR430C	YER118C	YER178W	YFL018C	YFR049W	YGR178C	YGR193C	YIL125W	YLL021W	YLR203C	YLR259C	YNL071W	YOR132W	YPR152C	
YBR272C	YDL058W	YDL070W	YDR300C	YEL056W	YFR006W	YGL131C	YGL190C	YGL200C	YGR170W	YJR132W	YJR138W	YLL022C	YLR325C	YMR176W	YMR186W	YOL054W	YPL001W	YPL058C	
YBL039C	YBL041W	YBR017C	YDL007W	YDR394W	YFR010W	YGL048C	YGR135W	YGR232W	YHL030W	YHR200W	YJR077C	YJR109C	YLR421C	YMR012W	YNL250W	YOL087C	YOR117W	YPR103W	
YBR193C	YCR081W	YDR145W	YDR443C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YGR252W	YHR041C	YKR095W	YLR071C	YML007W	YNL025C	YNL236W	YOL051W	YPL042C	YPR070W	
YBL039C	YBL041W	YDL097C	YFR004W	YFR010W	YGR135W	YGR232W	YHL030W	YHR200W	YIL094C	YJL001W	YKL145W	YKL210W	YLL021W	YLR421C	YML092C	YMR314W	YOL038W	YOR259C	
