YBR272C	YDL058W	YDL070W	YDR300C	YEL056W	YFR006W	YGL131C	YGL190C	YGL200C	YGR170W	YJR132W	YJR138W	YLL022C	YLR325C	YMR176W	YMR186W	YOL054W	YPL001W	YPL058C	
YBR177C	YDL019C	YDL215C	YDR150W	YDR490C	YER053C	YER120W	YFL016C	YGR086C	YGR130C	YHL020C	YJL066C	YKL057C	YKL142W	YKR018C	YKR066C	YLR333C	YMR031C	YPL004C	
YBL017C	YBR214W	YDL047W	YDL219W	YER072W	YER155C	YFR019W	YFR040W	YGL056C	YGL197W	YGL246C	YGR161C	YJL098W	YKR028W	YLL021W	YLR310C	YOR267C	YPL020C	YPL049C	
YAL034C	YAR002W	YCL009C	YER110C	YFR030W	YGR218W	YIL070C	YIL094C	YJL101C	YJL138C	YKL010C	YKL081W	YNL118C	YOR136W	YOR185C	YPL061W	YPL226W	YPL240C	YPR174C	
YBL046W	YBR236C	YDL115C	YDL140C	YDR075W	YDR379W	YDR404C	YGL070C	YGR005C	YGR063C	YGR186W	YIL021W	YJL140W	YML010W	YNL201C	YOL005C	YPL129W	YPR093C	YPR180W	
YBL017C	YBR214W	YBR225W	YDL047W	YER072W	YFR019W	YFR040W	YGL056C	YGL197W	YGL246C	YGR161C	YJL098W	YKL117W	YKR028W	YLL021W	YNR016C	YOR267C	YPL020C	YPL049C	
YAL034C	YAR002W	YCL009C	YER110C	YFR009W	YFR030W	YGL191W	YGL195W	YIL070C	YIL094C	YKL010C	YLR335W	YML063W	YNL224C	YOR136W	YPL020C	YPL061W	YPL240C	YPR174C	
YAL016W	YAL024C	YDL134C	YDL188C	YDR198C	YGL190C	YGR161C	YGR234W	YGR281W	YJR009C	YKL010C	YML028W	YML109W	YMR152W	YMR273C	YOR014W	YOR349W	YPL106C	YPR040W	
YBL017C	YBR214W	YBR225W	YDL047W	YER072W	YER155C	YFR019W	YFR040W	YGL056C	YGL197W	YGL246C	YGR161C	YJL098W	YKL117W	YKR027W	YKR028W	YLR310C	YOR267C	YPL049C	
YAL034C	YAR002W	YCL009C	YDR257C	YDR502C	YER110C	YJL138C	YKR029C	YLL021W	YLR005W	YLR335W	YLR347C	YMR308C	YMR310C	YNL189W	YNL224C	YOL120C	YOR098C	YPL020C	
YBR171W	YCR043C	YDR245W	YEL022W	YEL036C	YER017C	YGR132C	YGR231C	YJL183W	YJR075W	YKL039W	YKR031C	YLR292C	YLR342W	YLR450W	YMR089C	YOR254C	YPL050C	YPL094C	
YBL074C	YBR065C	YBR152W	YCR063W	YDR473C	YER013W	YER172C	YGL100W	YHR156C	YIR009W	YJR050W	YJR084W	YKR022C	YLR117C	YLR424W	YML046W	YNL147W	YPL151C	YPR101W	
YBL074C	YBR065C	YBR152W	YCR063W	YDR473C	YER013W	YER172C	YGL100W	YHR156C	YIR009W	YJR050W	YJR084W	YLR117C	YLR424W	YML046W	YML049C	YNL147W	YPL151C	YPR101W	
YAL026C	YAL053W	YDL215C	YDR141C	YDR434W	YGL234W	YGR192C	YHL003C	YKL008C	YKL039W	YKL092C	YKL142W	YKR066C	YLR044C	YML029W	YML072C	YNL297C	YOR153W	YPL004C	
