YBL027W	YCR031C	YDR418W	YER074W	YFR031C-A	YGR085C	YJL177W	YJL190C	YJR145C	YLR150W	YLR344W	YLR448W	YML024W	YML063W	YML073C	YMR242C	YOR198C	YPL198W	YPL249C-A	
YBR119W	YCL011C	YCL037C	YDL030W	YER029C	YGL049C	YGR074W	YGR162W	YHL034C	YLR298C	YLR424W	YML049C	YML117W	YMR125W	YNL189W	YOR319W	YPL178W	YPL190C	YPR057W	
YBL026W	YCR077C	YDL098C	YDL160C	YDR378C	YGR013W	YGR091W	YHR156C	YHR165C	YJL124C	YJR084W	YKR022C	YLR438C-A	YMR240C	YOR308C	YPL213W	YPR057W	YPR082C	YPR178W	
YCR014C	YDL007W	YDR320C	YDR363W-A	YDR394W	YDR427W	YER021W	YFR010W	YFR052W	YGR232W	YHL030W	YHR027C	YHR200W	YKL145W	YLR421C	YMR191W	YMR314W	YOR117W	YOR259C	
YBL093C	YBR193C	YBR253W	YCR081W	YDL005C	YDR443C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YML007W	YMR112C	YNL025C	YNL236W	YNR010W	YPL042C	YPR070W	YPR168W	
YBR081C	YBR253W	YCL010C	YDR145W	YDR176W	YDR392W	YDR448W	YGL066W	YGL151W	YHR041C	YLR055C	YML007W	YMR223W	YNL236W	YOL148C	YPL011C	YPL047W	YPL254W	YPR070W	
YCL010C	YDR145W	YDR176W	YDR392W	YDR448W	YGL066W	YGL112C	YGR252W	YHR041C	YLR055C	YML007W	YML098W	YMR223W	YMR227C	YOL148C	YPL011C	YPL047W	YPL254W	YPR070W	
YBL027W	YBR084W	YDR174W	YDR418W	YDR471W	YER074W	YFR031C-A	YGR085C	YJL177W	YJL190C	YJR145C	YLR150W	YLR448W	YML073C	YMR242C	YNL069C	YOR198C	YPL198W	YPL249C-A	
YBR245C	YCR020W-B	YCR052W	YDR224C	YDR225W	YDR303C	YFR037C	YGR056W	YKR001C	YKR008W	YLR033W	YLR321C	YLR357W	YML127W	YMR033W	YMR091C	YOL017W	YOR156C	YPR034W	
YBL027W	YBR191W	YCR031C	YDL083C	YDR174W	YDR418W	YEL026W	YFR031C-A	YGL123W	YGR085C	YHL001W	YJL177W	YJR123W	YKL180W	YLR441C	YML073C	YMR242C	YOL040C	YOR063W	
YBL027W	YBR191W	YCR031C	YDL083C	YDR174W	YDR418W	YFR031C-A	YGL103W	YGL123W	YGR085C	YHL001W	YJL177W	YKL143W	YLR441C	YML073C	YMR242C	YNL178W	YOL040C	YOR063W	
YBL093C	YDL005C	YDR443C	YDR448W	YGL025C	YGL127C	YGL151W	YGR252W	YHR041C	YHR058C	YLR071C	YML007W	YNL025C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YPL042C	
YBR119W	YCL011C	YCL037C	YDL043C	YDR235W	YGL049C	YGR013W	YGR162W	YHL034C	YHR086W	YIR001C	YIR009W	YKL214C	YML117W	YMR125W	YMR240C	YPL178W	YPL213W	YPR057W	
YBR289W	YCR020W-B	YCR052W	YDR225W	YFL049W	YFR037C	YGR275W	YHL025W	YIL126W	YJL176C	YLR321C	YLR357W	YML127W	YMR033W	YMR091C	YNR023W	YOR156C	YOR290C	YPR034W	
YBL038W	YBR122C	YBR282W	YCR046C	YCR071C	YDR116C	YDR237W	YDR296W	YGR220C	YHR147C	YJL063C	YKL167C	YKR006C	YKR085C	YLR439W	YMR193W	YNL177C	YNL252C	YOR150W	
YCR077C	YDL030W	YDL160C	YDR473C	YGL173C	YHR156C	YHR165C	YIR009W	YJL124C	YJL203W	YJR084W	YMR288W	YNL286W	YOR159C	YOR308C	YPL213W	YPR082C	YPR140W	YPR178W	
YBL038W	YBR122C	YBR282W	YCR046C	YCR071C	YDR237W	YDR462W	YGR220C	YHR147C	YJL063C	YKR006C	YKR085C	YLR439W	YMR024W	YMR193W	YNL005C	YNL177C	YNL284C	YOR150W	
YBL038W	YBR122C	YBR282W	YCR071C	YDR116C	YDR237W	YDR322W	YDR462W	YGR220C	YHR147C	YKR006C	YKR085C	YLR312W-A	YLR439W	YML009C	YMR024W	YMR193W	YNL284C	YOR150W	
YDL007W	YDL097C	YDL147W	YDR427W	YER021W	YFR004W	YFR010W	YFR052W	YGL048C	YGR232W	YHL030W	YHR200W	YLR421C	YMR314W	YOL038W	YOR117W	YOR259C	YOR261C	YPR108W	
YBL093C	YBR193C	YBR253W	YDL005C	YDR308C	YDR443C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YLR071C	YMR112C	YNL236W	YNR010W	YOL051W	YOL135C	YPR070W	YPR168W	
