YBL090W	YDR337W	YDR347W	YGL129C	YGR165W	YGR215W	YHR059W	YIL070C	YIL093C	YJL063C	YJR101W	YJR113C	YKL151C	YNL081C	YNR036C	YNR037C	YOL143C	YOR158W	YPL032C	
YBL090W	YBR146W	YBR251W	YDR175C	YDR337W	YDR347W	YGL129C	YGR165W	YGR215W	YIL070C	YIL093C	YJL063C	YJR096W	YJR101W	YKL151C	YKL155C	YNL022C	YOL143C	YPL032C	
YBR079C	YDR047W	YDR408C	YDR429C	YER025W	YER030W	YJR007W	YKL004W	YLR192C	YLR215C	YMR146C	YMR309C	YNL068C	YOR052C	YOR254C	YOR361C	YPL051W	YPL105C	YPR041W	
YBR231C	YDR334W	YDR359C	YDR485C	YEL018W	YFL024C	YHR090C	YJL081C	YJL123C	YJR082C	YLR085C	YLR385C	YLR399C	YML041C	YNL107W	YNL136W	YOL052C	YOR244W	YPR023C	
YBL090W	YDR124W	YDR337W	YDR347W	YGL129C	YGR165W	YGR215W	YHR059W	YIL070C	YIL093C	YJL063C	YJR101W	YJR113C	YKL151C	YNL081C	YNR036C	YOL143C	YOR158W	YPL032C	
YAL028W	YBL099W	YBL104C	YBR065C	YCR077C	YDL048C	YDR214W	YDR480W	YER020W	YFR048W	YGR123C	YJR121W	YLR024C	YLR216C	YMR186W	YNR022C	YOR027W	YPL051W	YPL240C	
YBR146W	YBR251W	YDR175C	YDR337W	YDR347W	YGL129C	YGR165W	YHL004W	YHR059W	YIL070C	YJR060W	YJR101W	YKL151C	YKL155C	YNL022C	YNL242W	YOL143C	YPL032C	YPL118W	
YBL090W	YDR124W	YDR347W	YGL129C	YGR165W	YGR215W	YHL004W	YHR059W	YIL070C	YIL093C	YJR060W	YJR101W	YJR113C	YKL151C	YNL081C	YNR036C	YOL143C	YOR158W	YPL032C	
YBL090W	YDR175C	YDR337W	YDR347W	YGL129C	YGR165W	YGR215W	YHR059W	YIL070C	YIL093C	YJL063C	YJR096W	YJR101W	YKL151C	YKL155C	YNL168C	YNR037C	YOL143C	YPL032C	
YBL090W	YBR146W	YBR251W	YDR124W	YDR175C	YDR337W	YDR347W	YGL129C	YGR165W	YIL070C	YIL093C	YJL063C	YJR096W	YJR101W	YKL151C	YKL155C	YNL022C	YOL143C	YPL032C	
YBL093C	YBR039W	YBR253W	YDL005C	YDR308C	YEL056W	YER022W	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YMR230W	YNL236W	YNR010W	YOL051W	YOR386W	YPL042C	YPR070W	
YBL093C	YBR193C	YBR253W	YCR081W	YDL005C	YDR308C	YGL025C	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YHR058C	YKR067W	YMR287C	YNL236W	YNR010W	YOL135C	YOR174W	
YBL093C	YBR193C	YBR253W	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YGR116W	YMR112C	YMR230W	YNL236W	YNR010W	YOR192C	YPL042C	YPR070W	YPR168W	
YCL030C	YCR053W	YDL077C	YDR127W	YDR129C	YFR044C	YGR240C	YHR179W	YJR009C	YNL273W	YOL013C	YOR027W	YOR299W	YOR368W	YOR375C	YPL003W	YPL240C	YPR069C	YPR164W	
YBR146W	YBR251W	YCR089W	YDR041W	YDR304C	YDR337W	YER050C	YGR084C	YHR061C	YIL067C	YJR031C	YKL003C	YMR012W	YMR158W	YNL022C	YNL081C	YNL137C	YNL242W	YPL013C	
YBL093C	YBR193C	YBR253W	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YMR112C	YNL236W	YNR010W	YOL051W	YOR192C	YPL042C	YPR070W	YPR168W	
YAL028W	YBL104C	YBR039W	YBR065C	YDL048C	YDR168W	YDR214W	YDR480W	YER020W	YFR048W	YGR123C	YJR121W	YLR024C	YLR216C	YMR186W	YNR022C	YOR027W	YPL051W	YPL240C	
YBL002W	YBR267W	YCL024W	YDR224C	YDR225W	YDR507C	YEL012W	YGL241W	YGR071C	YKR048C	YLR133W	YLR410W	YML069W	YML107C	YMR110C	YMR139W	YNL078W	YOL012C	YOR230W	
YBL008W	YBR215W	YDL156W	YDR043C	YIL035C	YIL121W	YJL115W	YJR140C	YKL088W	YKL160W	YLR387C	YMR154C	YNL030W	YNL031C	YOL054W	YOL088C	YOR052C	YOR054C	YOR061W	
